tract,Name,Household_Income_at_Age_35_rB_gF_p25
25017341300,"Malden, MA",100406
34039033000,"Union, NJ",87565
48085031317,"Murphy, TX",85327
39017011127,"Butler County, OH",84669
25021421100,"Holbrook, MA",81733
6001432800,"Bay-O-Vista, San Leandro, CA",77314
12011070401,"Cooper City, FL",77192
36055014601,"North Chili, NY",76435
37119003017,"Wessex Square, Charlotte, NC",76330
51059432202,"Burke, VA",73680
51059471202,"McLean, VA",73674
15003010801,"Mokapu, Kailua, HI",72480
24043010100,"Highfield-Cascade, MD",71209
6071002022,"Etiwanda, Rancho Cucamonga, CA",70806
24031703901,"Forest Glen, Silver Spring, MD",70470
36067014700,"Jamesville, NY",70055
37051003405,"Fort Bragg, NC",69136
42091201201,"Gwynedd Valley, PA",68833
34025803100,"Matawan, NJ",68473
34013015300,"Bloomfield, NJ",67783
9009345100,"Naugatuck, CT",66973
48491021507,"Eagle Ridge, Round Rock, TX",66935
6085503212,"South San Jose, San Jose, CA",66020
25013801604,"Sixteen Acres, Springfield, MA",65936
51059422202,"Lorton, VA",64791
51153901233,"Manassas, VA",64521
34021003301,"Lawrenceville, Lawrence Township, NJ",64226
51059490101,"Centreville, VA",64010
24033800514,"Bowie, MD",63804
6013362000,"Richmond, CA",63753
24003740702,"Odenton, MD",63748
24031701418,"Silver Spring, MD",63377
24031703210,"Silver Spring, MD",63136
12011110303,"SilverLakes, Pembroke Pines, FL",63030
51059431500,"West Springfield, VA",62919
36081080900,"Queens County, NY",62865
36119006700,"New Rochelle, NY",62676
6037403319,"Westmont, Diamond Bar, CA",62602
24031703601,"Kensington, MD",62460
34023003700,"Carteret, NJ",62252
34023002301,"Colonia, Woodbridge Township, NJ",61888
48085031633,"Hunters Ridge, Plano, TX",61877
24031701507,"Silver Spring, MD",61376
24031700610,"Gaithersburg, MD",61084
39151713501,"Massillon, OH",60879
12086001205,"Miami Shores, FL",60820
13067030329,"Marietta, GA",60638
51059432000,"Burke, VA",60573
36087011404,"Nanuet, NY",60352
34013017400,"West Orange, NJ",60180
