tract,Name,Household_Income_at_Age_35_rH_gM_p25
42041011902,"Carlisle, PA",175475
6037650701,"Southwood, Torrance, CA",173906
51059492202,"Fairfax Station, VA",119077
36059416100,"Seaford, NY",110902
24031704600,"Bethesda, MD",106823
53053071306,"Tacoma, WA",106590
36087010902,"Congers, NY",104058
6013359105,"Hercules, CA",103574
48029980100,"South San Antonio, San Antonio, TX",102625
36087010804,"New City, NY",102268
6013345114,"Danville, CA",100166
6059032042,"Trabuco Canyon, CA",98032
34003052100,"Saddle Brook, NJ",94933
17031120200,"Edgebrook, Chicago, IL",90131
40143005805,"Owasso, OK",89568
34039035600,"Rahway, NJ",88337
48157671700,"Sugar Creek, Sugar Land, TX",87988
48157673901,"New Territory, Sugar Land, TX",86779
34031236602,"Wanaque, NJ",86706
4013217101,"South Scottsdale, Scottsdale, AZ",85490
36059517701,"Glen Head, NY",85389
6059099238,"Huntington Beach, CA",84525
48245010902,"Port Neches, TX",84292
6079010504,"Cayucos, CA",84127
36005011800,"Bronx County, NY",83922
8059009852,"Appleridge Estates, Arvada, CO",83142
36059406100,"West Hempstead, NY",83127
34023007804,"Old Bridge, Old Bridge Township, NJ",82588
48003950100,"Andrews, TX",82275
17031808301,"Morton Grove, IL",82072
6085506703,"San Tomas, Campbell, CA",81837
48453001740,"Circle C Ranch, Austin, TX",81570
40109106706,"Central Oklahoma City, Oklahoma City, OK",81247
34031154002,"Little Falls, NJ",80503
36085013800,"Richmond County, NY",80022
48157674300,"Heritage Colony, Missouri City, TX",79784
48167720100,"Friendswood, TX",79766
48439113633,"Grapevine, TX",79650
6073008364,"University City, San Diego, CA",79521
6059042335,"Laguna Niguel, CA",79336
24017851500,"Waldorf, MD",79263
4013116711,"Ahwatukee, Phoenix, AZ",79252
34029717002,"Jackson, NJ",79080
6073021204,"Alpine, CA",78881
8059012024,"Littleton, CO",78371
48201251902,"Newport, Crosby, TX",78348
48201454600,"Nottingham Country, Katy, TX",77808
48085031613,"Parker Road Estates, Plano, TX",77342
8059009836,"Cameo Estates, Arvada, CO",77120
48201454501,"Energy Corridor, Houston, TX",76549
53033029901,"Auburn, WA",75595
12019030701,"Orange Park, FL",75499
32003003410,"Las Vegas, NV",75455
10003014904,"Bear, DE",75288
17097861509,"Gurnee, IL",75146
24027606901,"Savage, Jessup, MD",75085
18089042300,"Merrillville, IN",74866
6085503003,"South San Jose, San Jose, CA",74618
6037555202,"El Dorado, Long Beach, CA",74401
48201412300,"Southwest Houston, Houston, TX",74335
48201554301,"Lakewood Forest, Houston, TX",74313
6065041806,"Corona, CA",74024
6017030808,"Cameron Park, CA",73926
48201451401,"Westside, Houston, TX",73468
6013357000,"Crockett, CA",73290
48245000302,"Beaumont, TX",73267
6073008354,"Mira Mesa, San Diego, CA",73075
6059001602,"Fullerton, CA",73011
34025809502,"Morganville, Marlboro Township, NJ",72971
16001010504,"Southeast Boise, Boise, ID",72635
17031828802,"Chicago Heights, IL",72512
56005000600,"Gillette, WY",72440
6073008324,"Del Mar Heights, Del Mar, CA",72334
48469001503,"Victoria, TX",72300
36081004002,"Queens County, NY",71778
51059421001,"Franconia, VA",71741
36085017008,"Richmond County, NY",71732
49035110500,"Salt Lake City, UT",71695
48085031508,"Allen, TX",71685
34003051300,"Rutherford, NJ",71471
51013100100,"Arlington, VA",71458
4013420211,"Mesa, AZ",71445
36103158104,"Centereach, NY",71431
22071000616,"Algiers, New Orleans, LA",71380
17031823704,"Hickory Hills, IL",71326
36103147502,"East Islip, NY",71284
6085506801,"Los Gatos, CA",71164
6001450701,"Pleasanton, CA",71160
6037431600,"Arcadia, CA",71144
12031016803,"Southside, Jacksonville, FL",71110
48039663600,"Lake Jackson, TX",71089
32015000300,"Battle Mountain, NV",70936
6037670702,"Rancho Palos Verdes, CA",70740
17089854503,"Aurora, IL",70679
18089020200,"Whiting, IN",70653
51153901230,"Dale City, VA",70609
6037920016,"Santa Clarita, CA",70575
6073016810,"Lakeside, CA",70367
6095252107,"Benicia, CA",70304
12099007723,"Wellington, FL",69864
34003037100,"New Milford, NJ",69820
6071000815,"Upland, CA",69750
8123002007,"Erie, CO",69702
6037650502,"West Torrance, Torrance, CA",69516
6081608100,"Foster City, CA",69431
36059302800,"North New Hyde Park, NY",69292
51059452000,"Annandale, VA",69217
12086000133,"Aventura, FL",69216
49007000100,"Price, UT",69167
6111007405,"Oak Park, CA",69153
12083002301,"Ocala, FL",69123
24031700308,"Germantown, MD",69073
6073017022,"Scripps Ranch, San Diego, CA",69034
6075030301,"Inner Sunset, San Francisco, CA",68967
6059099404,"Huntington Beach, CA",68378
48201541003,"Houston, TX",68307
48039660100,"Pearland, TX",68304
6073017051,"Rancho Bernardo, San Diego, CA",68296
34025806600,"Wanamassa, NJ",68257
32013010600,"Winnemucca, NV",68105
17043846404,"Naperville, IL",67900
36059404700,"New Hyde Park, NY",67883
56025000901,"Casper, WY",67877
48085031406,"Allen, TX",67834
45079011419,"Columbia, SC",67765
51059432500,"Springfield, VA",67753
8069002600,"Berthoud, CO",67735
36081062100,"Queens County, NY",67697
55079150100,"Franklin, WI",67679
48071710500,"Anahuac, TX",67607
17031827902,"Lansing, IL",67505
8031005502,"Fort Logan, Denver, CO",67492
48189950800,"Abernathy, TX",67467
40027202106,"Moore, OK",67382
48453001846,"Northwood, Austin, TX",67287
48245001301,"Beaumont, TX",67239
6095252912,"Vacaville, CA",66991
22055001700,"Lafayette, LA",66844
48029181901,"Northwest Side, San Antonio, TX",66724
32003003249,"Summerlin, Las Vegas, NV",66276
6073009107,"Morena, San Diego, CA",66246
48355005413,"South Side, Corpus Christi, TX",66043
6071000804,"Upland, CA",66014
36059520501,"South Farmingdale, NY",65989
12086006714,"Brickell, Miami, FL",65988
34003031300,"Lyndhurst, NJ",65945
49011125104,"South Weber, UT",65899
17031804902,"Des Plaines, IL",65799
36119013500,"Ossining, NY",65788
48227950900,"Big Spring, TX",65607
32033970200,"Ely, NV",65605
17031770601,"Des Plaines, IL",65521
6095253206,"Vacaville, CA",65416
6073008330,"Carmel Valley, San Diego, CA",65189
17161021800,"Moline, IL",65161
6081609500,"San Carlos, CA",65153
40147000500,"Bartlesville, OK",65138
36085015601,"Richmond County, NY",65110
48029191505,"Elm Creek, San Antonio, TX",65034
6095252911,"Vacaville, CA",65002
13057090904,"Woodstock, GA",64994
6085509201,"Jackson Park, Mountain View, CA",64968
36081089200,"Queens County, NY",64867
48461950100,"Midkiff, TX",64864
6087120600,"Felton, CA",64678
34023007304,"Parlin, Sayreville, NJ",64658
36087011404,"Nanuet, NY",64558
17161022000,"Stewartville, Moline, IL",64551
17097861014,"Lake Villa, IL",64327
17099962700,"Downtown, Ottawa, IL",64306
22089062301,"Destrehan, LA",64284
48251130207,"Burleson, TX",64207
34039035800,"Rahway, NJ",64188
35025000800,"Eunice, NM",64174
12099007741,"Boca Raton, FL",64163
8093000100,"Bailey, CO",64084
6073008344,"University City, San Diego, CA",64064
48439106513,"Handley, Fort Worth, TX",63990
48303001705,"Lubbock, TX",63981
6037920326,"Valencia, Stevenson Ranch, CA",63938
53053071206,"Puyallup, WA",63924
6001406900,"Redwood Heights, Oakland, CA",63911
13053020201,"Fort Benning, GA",63893
4019004726,"Shadow Hills, Tucson, AZ",63860
12099007748,"Boca Raton, FL",63812
6073017052,"Rancho Bernardo, San Diego, CA",63807
6055201800,"Napa, CA",63806
41003000600,"Corvallis, OR",63752
6037189800,"Central LA, Los Angeles, CA",63682
36103135104,"Smithtown, NY",63669
8077001002,"Grand Junction, CO",63636
11001000701,"Cathedral Heights, Washington, DC",63617
6059052417,"Northwood, Irvine, CA",63504
6013302008,"Oakley, CA",63484
48029181823,"Northwest Side, San Antonio, TX",63472
6111005504,"Camarillo, CA",63467
48329000304,"Trinity Estates, Midland, TX",63454
12019030801,"Orange Park, FL",63411
10003014810,"Bear, DE",63379
12099007822,"Jupiter, FL",63226
6067005801,"Carmichael, CA",63160
6073009504,"Scripps Ranch, San Diego, CA",63145
16001010322,"Meridian, ID",63123
34003006100,"Cliffside Park, NJ",63120
33011011402,"Nashua, NH",63096
6019005517,"Fresno, CA",63018
6029000909,"Bakersfield Country Club, Bakersfield, CA",62998
48157671501,"Lakeside Meadow At Brightwater, Missouri City, TX",62926
48093950200,"Comanche, TX",62896
48201554002,"Champion Forest, Spring, TX",62830
48495950200,"Kermit, TX",62829
