tract,Name,Household_Income_at_Age_35_rNA_gM_p25
12011090602,"Driftwood, Hollywood, FL",72015
40027202105,"Moore, OK",60886
40051000500,"Chickasha, OK",60423
6065043813,"Cabazon, CA",58875
40131050501,"Inola, OK",58692
40137000800,"Duncan, OK",57147
40131050203,"Claremore, OK",54728
40147000500,"Bartlesville, OK",54438
40143003900,"Mayo Meadow, Tulsa, OK",52080
40143003700,"Tulsa, OK",51264
40143007515,"Broken Arrow, OK",51037
40099790700,"Davis, OK",50906
40137001100,"Comanche, OK",50770
40131050104,"Claremore, OK",50386
40131050103,"Claremore, OK",50328
40143007507,"Broken Arrow, OK",49924
40079040500,"Wister, OK",48011
40143006705,"Tulsa, OK",47651
40035373100,"Welch, OK",47592
40081961700,"Chandler, OK",47298
49037978200,"Blanding, UT",47165
40115574800,"Fairland, OK",46898
40009966200,"Elk City, OK",46635
40143009007,"Tulsa, OK",46319
40077087300,"Talihina, OK",45956
40143005807,"Owasso, OK",45542
26033970800,"Rudyard, MI",45461
40089098200,"Broken Bow, OK",45393
40143007802,"Bixby, OK",45272
1097005800,"Mount Vernon, AL",45212
22085000200,"Noble, LA",45168
40101001500,"Warner, OK",44605
40027202500,"Noble, OK",44506
4005001302,"Flagstaff, AZ",44492
8083969300,"Cortez, CO",43628
40147001300,"Ramona, OK",43519
40027202106,"Moore, OK",43398
40121486700,"Hartshorne, OK",43354
40041375802,"Afton, OK",43028
40101001200,"Muskogee, OK",42905
40077087100,"Red Oak, OK",42800
40147000400,"Bartlesville, OK",42628
26033970100,"Sault Ste. Marie, MI",41746
40125501003,"Shawnee, OK",41674
40113940003,"Ponca City, OK",41395
40035373300,"Vinita, OK",41320
22109001400,"Houma, LA",41135
40143007701,"Glenpool, OK",41126
40013796200,"Durant, OK",40836
40051000903,"Tuttle, OK",40469
40027201902,"South Oklahoma City, Oklahoma City, OK",40176
40013796100,"Durant, OK",40150
40029388100,"Coalgate, OK",40133
1053970400,"Atmore, AL",40116
40137000400,"Duncan, OK",39524
40113940007,"Sand Springs, OK",39483
6031001601,"Stratford, CA",39326
40145030202,"Wagoner, OK",39153
40143006600,"Tulsa, OK",39043
1129044200,"McIntosh, AL",38926
40035373200,"Vinita, OK",38651
40113940001,"Hominy, OK",38647
5007021102,"Siloam Springs, AR",38647
40147001100,"Dewey, OK",38631
22109001100,"Montegut, LA",38139
40021977800,"Tahlequah, OK",38100
40143005805,"Owasso, OK",37971
40131050802,"Talala, OK",37867
40111000700,"Morris, OK",37624
40135030402,"Muldrow, OK",37571
40123089598,"Ada, OK",37519
40133583300,"Seminole, OK",37485
1079979500,"Hillsboro, AL",37453
40113940004,"Bartlesville, OK",37354
40143007402,"Broken Arrow, OK",37249
40101001400,"Fort Gibson, OK",36999
40145030403,"Tulsa, OK",36946
40143007305,"Longview Lake, Tulsa, OK",36647
37185950103,"Macon, NC",36531
40105172300,"Nowata, OK",36440
40013796500,"Durant, OK",36417
40125501102,"Tecumseh, OK",36408
40101001100,"Oktaha, OK",36164
40115574900,"Wyandotte, OK",36128
40079040402,"Poteau, OK",36070
40143007101,"Tulsa, OK",35995
40135030302,"Sallisaw, OK",35978
37155960801,"Lumberton, NC",35909
40107081000,"Weleetka, OK",35816
40041375601,"Jay, OK",35747
40095094700,"Madill, OK",35533
26033970400,"Sault Ste. Marie, MI",35457
40105172400,"Nowata, OK",35431
40133583200,"Seminole, OK",35405
40143005002,"Tulsa, OK",35378
40097040100,"Pryor, OK",35333
40101001300,"Muskogee, OK",35313
30013000900,"Great Falls, MT",35025
40131050105,"Claremore, OK",35007
40143009004,"Tulsa, OK",34965
40109107806,"Del City, OK",34917
26033970500,"Sault Ste. Marie, MI",34907
40087400300,"Purcell, OK",34790
40041375700,"Grove, OK",34786
40109105300,"Central Oklahoma City, Oklahoma City, OK",34760
40131050304,"Claremore, OK",34680
22109000600,"Houma, LA",34570
40031000100,"Lawton, OK",34438
40147000300,"Bartlesville, OK",34397
40131050502,"Inola, OK",34352
40061279300,"Stigler, OK",34327
40115574600,"Miami, OK",34235
40143005600,"Sperry, OK",34199
40041375602,"Grove, OK",34155
40121486000,"McAlester, OK",34122
40143009500,"Sand Springs, OK",34010
40147000600,"Bartlesville, OK",34000
40131050408,"Catoosa, OK",33998
40039960700,"Weatherford, OK",33955
40143005402,"Collinsville, OK",33691
40037021600,"Sapulpa, OK",33574
36029940000,"Irving, NY",33490
40143007200,"McClure Park, Tulsa, OK",33441
40117957500,"Pawnee, OK",33430
40061279200,"Stigler, OK",33421
26073940200,"Mount Pleasant, MI",33364
40143002700,"Tulsa, OK",33297
40125501004,"Shawnee, OK",33241
40037020602,"Sapulpa, OK",33205
40097040300,"Pryor, OK",33136
40111000901,"Henryetta, OK",33113
40063484800,"Holdenville, OK",33044
40087400102,"Blanchard, OK",33040
40027201000,"Norman, OK",32788
