tract,Name,Household_Income_at_Age_35_rW_gF_p25
36061011402,"Upper East Side, New York, NY",1062314
17031071000,"Lincoln Park, Chicago, IL",1062314
6037194300,"Central LA, Los Angeles, CA",702089
24031705300,"Chevy Chase, MD",278722
36061006000,"Midtown, New York, NY",216784
6085511910,"South San Jose, San Jose, CA",174851
48201430400,"Memorial, Houston, TX",171084
6001408000,"Woodminster, Oakland, CA",165506
51059451000,"Annandale, VA",141418
17031390600,"Kenwood, Chicago, IL",140587
36081010000,"Queens County, NY",129184
4013216843,"North Scottsdale, Scottsdale, AZ",129151
48355005414,"South Side, Corpus Christi, TX",128745
25017369000,"North Waltham, Waltham, MA",128316
49043964305,"Park City, UT",122838
12021010215,"Pelican Bay, Naples, FL",120140
6037192300,"Central LA, Los Angeles, CA",119767
48121021751,"Flower Mound, TX",118874
51059491705,"Fairfax, VA",118821
36059301000,"Sands Point, NY",117201
51760050600,"Near West End, Richmond, VA",117172
6037265100,"Westwood, Los Angeles, CA",116990
24005408602,"Lutherville-Timonium, MD",114605
36081041500,"Queens County, NY",114349
51087200108,"Henrico, VA",113606
48201222501,"Northside, Houston, TX",113196
6065045122,"Indian Wells, CA",112626
34027043302,"Morristown, NJ",112448
49049001603,"Provo, UT",111706
34023000608,"Society Hill, Piscataway Township, NJ",110204
36119013202,"Briarcliff Manor, NY",109243
38061940300,"Parshall, ND",108775
36047020200,"Kings County, NY",108736
6085510100,"Woodland Acres - The Highlands, Los Altos, CA",108608
36119013201,"Briarcliff Manor, NY",108547
36081114700,"Queens County, NY",107089
48201430600,"The Villages, Houston, TX",106560
25025010701,"Back Bay West, Boston, MA",106002
20091053109,"Parkbridge, Overland Park, KS",105522
36081150702,"Queens County, NY",105480
36081114100,"Queens County, NY",104904
34017005600,"Greenville, Jersey City, NJ",104280
36047056800,"Kings County, NY",103207
36047016600,"Kings County, NY",103077
19013002303,"Cedar Falls, IA",102756
48157673902,"Telfair, Sugar Land, TX",102752
8005086700,"Tallyn's Reach, Aurora, CO",102415
4013815500,"Gilbert, AZ",102253
6085504311,"Berryessa, San Jose, CA",102094
6075047902,"Outer Richmond, San Francisco, CA",101844
13121010107,"Sandy Springs, GA",101831
4013040523,"Corte Bella, Sun City West, AZ",101752
9001060800,"Fairfield, CT",101616
6075012602,"Marina District, San Francisco, CA",101191
12086012700,"Hialeah, FL",101180
36047003800,"Kings County, NY",100829
9001022400,"Cove - East Side - Shippan, Stamford, CT",100250
51059480402,"Great Falls, VA",100232
6081605600,"Country Club Manor, Hillsborough, CA",100144
12086004607,"Key Biscayne, FL",99797
34023008206,"Rossmoor, Monroe Township, NJ",99160
36061012000,"Lenox Hill, New York, NY",99034
36081064101,"Queens County, NY",99027
36081029100,"Queens County, NY",98875
34003023601,"Hackensack, NJ",98180
17043844502,"Oak Brook, IL",98023
36005034500,"Bronx County, NY",97869
25025110301,"Roslindale, Boston, MA",97713
13121009601,"Buckhead, Atlanta, GA",97709
34003047300,"Ridgewood, NJ",97544
6075013101,"Pacific Heights, San Francisco, CA",97429
48201413201,"Braeswood Place, Houston, TX",97082
6073005700,"Bankers Hill, San Diego, CA",96700
36059302101,"Roslyn, NY",96463
22093040200,"Lutcher, LA",96331
51107611016,"Ashburn, VA",96214
42003140200,"Squirrel Hill North, Pittsburgh, PA",95942
25017357100,"Belmont, MA",95791
15003000401,"Waialae - Kahala, Honolulu, HI",95650
36081119300,"Queens County, NY",95431
42003141000,"Regent Square, Pittsburgh, PA",95374
48453001719,"Cat Mountain Villas, Austin, TX",95337
36061006100,"Lower Manhattan, New York, NY",95086
51510201100,"North Ridge, Alexandria, VA",95017
36103158322,"Mount Sinai, NY",94975
17031831900,"Lake View, Chicago, IL",94900
34003019202,"Fort Lee, NJ",94809
51013100400,"Arlington, VA",94630
31153010627,"Omaha, NE",94347
34027044200,"Morristown, NJ",94315
42101020600,"East Falls, Philadelphia, PA",94254
36059301800,"Manhasset, NY",93966
36119012501,"Katonah, NY",93865
39049006410,"Upper Arlington, OH",93855
36081013500,"Queens County, NY",93644
9001045300,"Wilton, CT",93448
53033024602,"Mercer Island, WA",93425
36081076902,"Queens County, NY",92977
4013092721,"Rovey Farm Estates, Glendale, AZ",92922
24031704403,"Bethesda, MD",92836
48201250900,"Kingwood, Houston, TX",92692
6075045100,"Balboa Hollow, San Francisco, CA",92343
38011965200,"Bowman, ND",92081
36081049700,"Queens County, NY",92045
36047005601,"Kings County, NY",92031
6013365003,"Richmond, CA",91973
34017014101,"North Bergen, NJ",91785
27053023902,"Minneapolis, MN",91741
48121020110,"Grayhawk, Frisco, TX",91683
51059480203,"Tysons, VA",91661
6075010400,"North Beach, San Francisco, CA",91471
34013020700,"Livingston, NJ",91351
12115001903,"Siesta Key, FL",91229
48029191102,"North Central, San Antonio, TX",91196
17031120100,"Forest Glen, Chicago, IL",90899
12099007011,"Boca Raton, FL",90757
6065046601,"Norco, CA",90752
4021001706,"Maricopa, AZ",90710
36119010000,"Scarsdale, NY",90703
48113013624,"Far North Dallas, Dallas, TX",90355
42091204800,"Gladwyne, PA",90334
48029191811,"Far North Central, San Antonio, TX",90155
36005024400,"Bronx County, NY",90020
26161403100,"Wines, Ann Arbor, MI",89848
6037188202,"Central LA, Los Angeles, CA",89462
36081098700,"Queens County, NY",89449
36059415201,"Merrick, NY",89439
24005403803,"Pikesville, MD",89429
36081015300,"Queens County, NY",89325
42101001800,"Bella Vista, Philadelphia, PA",89318
6037267502,"West Los Angeles, Los Angeles, CA",89270
37183052506,"Brookhaven, Raleigh, NC",89176
6037108101,"Northridge, Los Angeles, CA",89080
45019004613,"Mount Pleasant, SC",88968
17031809600,"Evanston, IL",88959
20071958100,"Tribune, KS",88890
6037262400,"Brentwood, Los Angeles, CA",88878
12099007505,"Boca Raton, FL",88834
6037536102,"South Gate, CA",88827
35013001801,"Mesquite, NM",88645
42101001700,"Queen Village, Philadelphia, PA",88637
34027042500,"Florham Park, NJ",88484
26163556600,"Livonia, MI",88376
42029300101,"Wayne, PA",88337
6013384000,"El Cerrito, CA",88305
11001002701,"Northwest Washington, Washington, DC",88221
36047067800,"Kings County, NY",88144
36081075701,"Queens County, NY",88059
48479001709,"Del Mar Hills Area C, Laredo, TX",87850
36061011000,"Lenox Hill, New York, NY",87818
51059450900,"Falls Church, VA",87788
36081080302,"Queens County, NY",87780
36059405800,"Garden City, NY",87633
25025120105,"Jamaica Hills / Pond, Boston, MA",87566
36085000300,"Richmond County, NY",87560
36081120700,"Queens County, NY",87506
17097865502,"Highland Park, IL",87504
17031802200,"Glenview, IL",87433
8014030500,"Broomfield, CO",87322
27123031900,"St. Anthony Park, Saint Paul, MN",87322
37119005843,"Provincetowne, Charlotte, NC",87246
13059002100,"Athens, GA",87244
6037577602,"Bixby Village, Long Beach, CA",87238
37119005519,"Highland Creek, Charlotte, NC",87230
6067008512,"Folsom, CA",87117
6081604102,"San Bruno, CA",87081
11001000901,"Northwest Washington, Washington, DC",87070
45019002105,"Johns Island, SC",87041
22017023100,"Springlake, University Terrace, Shreveport, LA",87008
34003041302,"Palisades Park, NJ",86998
47187050206,"Brentwood, TN",86990
20173010115,"Wichita, KS",86950
27053106600,"Calhoun Isles, Minneapolis, MN",86941
6041123000,"Belvedere Tiburon, Belvedere, CA",86906
6037461700,"North Arroyo, Pasadena, CA",86843
36059518800,"Syosset, NY",86792
27003050230,"Lino Lakes, MN",86754
36047005602,"Kings County, NY",86738
36047066200,"Kings County, NY",86705
9001010202,"Cos Cob, Greenwich, CT",86643
6037262100,"Bel Air, Los Angeles, CA",86604
36059412600,"Rockville Centre, NY",86491
36081090700,"Queens County, NY",86479
17031070200,"Lincoln Park, Chicago, IL",86473
6013359204,"Birds, Hercules, CA",86460
36081099705,"Queens County, NY",86421
6001443301,"Warm Springs, Fremont, CA",86410
12086004102,"Venetian Islands, Miami Beach, FL",86376
17031805502,"Park Ridge, IL",86267
34023006601,"Milltown, NJ",86257
13121010108,"Atlanta, GA",86252
36047057600,"Kings County, NY",86249
24031700828,"Gaithersburg, MD",86177
48029191810,"Summerglen, San Antonio, TX",85862
34017015802,"West New York, NJ",85774
48113019501,"Park Cities, Dallas, TX",85763
36103134903,"Smithtown, NY",85716
48029191701,"North Central, Hill Country Village, TX",85708
6081609700,"Emerald Hills, CA",85705
36081099703,"Queens County, NY",85594
55087012503,"Appleton, WI",85590
17097864521,"Lincolnshire, IL",85508
39035196300,"Moreland Hills, OH",85494
36081070700,"Queens County, NY",85409
42079216501,"Sugarloaf, PA",85296
22071013302,"Gentilly, New Orleans, LA",85280
6037460800,"North Arroyo, Pasadena, CA",85261
36047061200,"Kings County, NY",85252
48113007801,"North Dallas, Dallas, TX",85222
6073008902,"San Diego, CA",85218
5007020405,"Rogers, AR",85140
48201411400,"River Oaks, Houston, TX",84936
17031802403,"Wheeling, IL",84893
32031003305,"Incline Village, NV",84614
6001450101,"Dublin, CA",84592
24027601104,"Ellicott City, MD",84561
39049007207,"West Albany, Westerville, OH",84545
17031720600,"South Side, Chicago, IL",84495
24031701002,"Rockville, MD",84489
26125137700,"Northville, MI",84474
25017357200,"Belmont, MA",84139
31109003718,"Lincoln, NE",84120
36005028800,"Bronx County, NY",84045
42091202302,"Elkins Park, PA",83957
36047077400,"Kings County, NY",83913
6073008336,"Rancho Peñasquitos, San Diego, CA",83864
42091201006,"North Wales, PA",83850
36047006700,"Kings County, NY",83828
51153901230,"Dale City, VA",83734
27139080202,"Savage, MN",83607
25021416400,"Milton, MA",83559
23031025400,"Biddeford, ME",83554
36059521301,"Massapequa, NY",83513
36047016800,"Kings County, NY",83433
36047070201,"Kings County, NY",83389
36059519703,"Plainview, NY",83387
12099005950,"Boynton Beach, FL",83386
34025809600,"Morganville, Manalapan Township, NJ",83353
6037267200,"West Los Angeles, Los Angeles, CA",83333
25021417300,"Marina Bay, Quincy, MA",83314
6037275500,"Culver City, CA",83292
36103147601,"Oakdale, NY",83280
36047074800,"Kings County, NY",83120
36081049500,"Queens County, NY",83067
4013813300,"Chandler, AZ",83056
6037670324,"Palos Verdes Estates, CA",83035
36047099000,"Kings County, NY",83029
48453001916,"Austin, TX",83022
51510200301,"Seminary Hill, Alexandria, VA",82987
6037139703,"Encino, Los Angeles, CA",82978
42091206006,"Eagleville, PA",82956
34039036302,"Clark, NJ",82883
42091204009,"Plymouth Meeting, PA",82657
51510200801,"Taylor Run, Alexandria, VA",82565
36047004600,"Kings County, NY",82557
46063968700,"Buffalo, SD",82552
36047019400,"Kings County, NY",82519
12011110332,"Pembroke Pines, FL",82512
36081133900,"Queens County, NY",82501
11001001001,"American University Park, Washington, DC",82485
6037920018,"Santa Clarita, CA",82469
51059481701,"Oakton, VA",82454
34005702918,"Mount Laurel, NJ",82428
42045407404,"Wallingford, Nether Providence Township, PA",82338
40011958800,"Watonga, OK",82322
34027043700,"Morristown, NJ",82315
36103135002,"Saint James, NY",82283
36119013800,"Croton-on-Hudson, NY",82262
48491020317,"Cedar Park, TX",82054
1117030217,"Birmingham, AL",82052
6059062631,"Turtle Rock, Irvine, CA",82032
17097864107,"Mundelein, IL",81994
51013101100,"East Falls Church, Arlington, VA",81977
36001001400,"Center Square & Hudson/Park, Albany, NY",81967
12086003922,"Mid-Beach, Miami, FL",81917
34039032300,"Hillside, NJ",81778
36119004500,"North Side, Mount Vernon, NY",81777
48157672900,"Grand Mission, Richmond, TX",81670
51710002300,"Larchmont/Edgewater, Norfolk, VA",81580
36081015500,"Queens County, NY",81556
36047017200,"Kings County, NY",81525
6037480201,"San Gabriel, CA",81516
48085031642,"Hunters Glen, Plano, TX",81463
36087013401,"Tappan, NY",81450
49049010110,"Lehi, UT",81446
4019004317,"Green Valley Country Club Vistas, Green Valley, AZ",81437
36081024500,"Queens County, NY",81404
17031330200,"Near South Side, Chicago, IL",81332
49049010404,"Spanish Fork, UT",81183
6037620901,"Manhattan Beach, CA",81170
6081606500,"Baywood - Aragon, San Mateo, CA",81140
6061020606,"Granite Bay, CA",81117
36047029400,"Kings County, NY",81079
24027605505,"River Hill, Clarksville, MD",81013
36047041000,"Kings County, NY",80985
1005950300,"Louisville, AL",80965
36061016001,"Upper East Side, New York, NY",80800
26163562300,"Plymouth, MI",80794
25017357400,"Belmont, MA",80668
17031031900,"Uptown, Chicago, IL",80606
17031804105,"Winston Knolls, Hoffman Estates, IL",80568
15003001700,"Diamond Head - Kapahulu - St. Louis, Honolulu, HI",80504
36119009600,"Highlands, White Plains, NY",80486
51059481105,"Herndon, VA",80464
25021401100,"Brookline, MA",80462
9003497200,"West Hartford, CT",80435
12086007807,"Pinecrest, FL",80426
51510202002,"Old Town, Alexandria, VA",80417
36119006802,"New Rochelle, NY",80355
25025130300,"West Roxbury, Boston, MA",80339
29095006900,"Midtown - Westport, Kansas City, MO",80261
51059460501,"Tysons, VA",80223
9001035400,"New Canaan, CT",80219
27053026021,"Eden Prairie, MN",80165
12057011709,"Town N Country Alliance, Tampa, FL",80121
6037120108,"Panorama City, Los Angeles, CA",80103
4027011202,"Wellton, AZ",80095
36119012102,"Thornwood, NY",80009
36047013200,"Kings County, NY",79991
48029121811,"Uptown, San Antonio, TX",79986
36081075702,"Queens County, NY",79923
6001435102,"Hayward Highland, Hayward, CA",79899
36059415202,"Merrick, NY",79870
36081066300,"Queens County, NY",79859
34035053707,"Somerset County, NJ",79842
36047044600,"Kings County, NY",79840
36061009800,"Midtown, New York, NY",79824
55079040100,"River Hills, WI",79711
25017350103,"Ten Hills, Somerville, MA",79707
22051022101,"Metairie, LA",79700
26099261600,"Warren Woods, Warren, MI",79682
51059460600,"Vienna, VA",79676
51059491404,"Centreville, VA",79657
12011042400,"East Fort Lauderdale, Fort Lauderdale, FL",79562
48113000702,"Oak Lawn, Dallas, TX",79519
36005031400,"Bronx County, NY",79489
26125191300,"Rochester, MI",79450
36059302900,"North New Hyde Park, NY",79402
27053026022,"Eden Prairie, MN",79395
39035187105,"University Heights, OH",79326
45013002104,"Sun City Hilton Head, Bluffton, SC",79307
17031823605,"Palos Heights, IL",79280
34023006606,"East Brunswick, NJ",79265
48029191412,"Inwood, San Antonio, TX",79264
12086008000,"Old Cutler, Coral Gables, FL",79237
36085025100,"Richmond County, NY",79231
13121009000,"Buckhead, Atlanta, GA",79185
6073017020,"Poway, CA",79180
35043010718,"Rio Rancho, NM",79168
24027602100,"Ellicott City, MD",79094
36059303301,"Williston Park, NY",79037
36081140300,"Queens County, NY",78985
29189218012,"Des Peres, MO",78978
36059409700,"North Wantagh, Wantagh, NY",78963
36047051800,"Kings County, NY",78961
