tract,Name,Household_Income_at_Age_35_rW_gM_p25
36081047600,"Queens County, NY",1062314
48491020203,"Sun City, Georgetown, TX",1062314
36047065000,"Kings County, NY",446566
22071012102,"Uptown/Carrollton, New Orleans, LA",150475
29165030210,"Coves North, Kansas City, MO",141747
51059470100,"McLean, VA",138461
48121020112,"Little Elm, TX",126514
24031703000,"South Four Corners, Silver Spring, MD",121031
6001423800,"Claremont, Berkeley, CA",117861
6013385100,"El Cerrito, CA",116224
8037000402,"Edwards, CO",114628
36061009500,"Midtown, New York, NY",114360
12086007801,"Miami, FL",112516
17031070103,"Lincoln Park, Chicago, IL",110555
42101000300,"Center City, Philadelphia, PA",109241
8117000402,"Breckenridge, CO",107358
13121009601,"Buckhead, Atlanta, GA",106776
6037406402,"Walnut Valley, West Covina, CA",106244
36061005200,"Midtown, New York, NY",102842
17097865502,"Highland Park, IL",102695
11001008301,"Northeast Washington, Washington, DC",101899
11001005500,"Northwest Washington, Washington, DC",101641
36061014401,"Upper East Side, New York, NY",101574
36081064101,"Queens County, NY",99824
36081047800,"Queens County, NY",97212
48085030303,"Lakes of La Cima, Prosper, TX",97121
11001000501,"Northwest Washington, Washington, DC",96993
6061022400,"East Roseville Parkway, Roseville, CA",96844
51059422401,"Alexandria, VA",95613
36047000502,"Kings County, NY",95380
17031241400,"West Town, Chicago, IL",94772
25021416102,"Milton, MA",94009
48439111310,"Southeast Arlington, Arlington, TX",93751
26125160700,"Southfield, MI",93526
6081611500,"Lindenwood, Atherton, CA",93425
36047005201,"Kings County, NY",93384
36059519602,"Plainview, NY",92751
25025110601,"Brook Farm, Boston, MA",92458
25021403300,"Needham, MA",92179
42101001201,"Center City, Philadelphia, PA",91750
13067031212,"Atlanta, GA",91674
38089964000,"Belfield, ND",91461
51013102400,"Arlington Heights, Arlington, VA",90966
12103027309,"Crescent Oaks, Tarpon Springs, FL",90941
22033002700,"Mid City South, Baton Rouge, LA",90885
26125150200,"Bloomfield Hills, MI",90080
6059062629,"Turtle Rock, Irvine, CA",89363
48085031408,"Lucas, TX",88842
6085509902,"Waverly Park, Mountain View, CA",88221
11001008200,"Northeast Washington, Washington, DC",87806
36061006900,"Lower Manhattan, New York, NY",87698
36081086500,"Queens County, NY",87236
36059415500,"North Wantagh, Seaford, NY",87025
34003047300,"Ridgewood, NJ",86784
25025080900,"Mission Hill, Boston, MA",86682
51059421200,"Alexandria, VA",86230
34013020400,"Livingston, NJ",86132
48121021752,"Flower Mound, TX",86128
38053962300,"Watford City, ND",85787
6001400200,"Rockridge, Oakland, CA",85680
12115001907,"Sarasota, FL",85678
48121021725,"Flower Mound, TX",85459
20091053424,"Tu'lakes, Overland Park, KS",85422
6075030201,"Inner Sunset, San Francisco, CA",85350
36047074200,"Kings County, NY",85227
36059304002,"Westbury, NY",85174
48303010509,"Lubbock, TX",85010
22071011600,"Audubon, New Orleans, LA",84917
31009972400,"Dunning, NE",84691
24031701002,"Rockville, MD",84667
36081049500,"Queens County, NY",84608
36005028100,"Bronx County, NY",84567
36081018900,"Queens County, NY",84389
6085506804,"Cambrian, Los Gatos, CA",84233
6085503330,"Chaboya, San Jose, CA",84175
17031040800,"Lincoln Square, Chicago, IL",84148
6073008361,"La Jolla, San Diego, CA",84121
26125191300,"Rochester, MI",84037
8005086300,"Aurora, CO",83644
34003019306,"Fort Lee, NJ",83537
34039039100,"Plainfield, NJ",83387
17097864410,"Lake Zurich, IL",83212
10005051306,"Selbyville, DE",83142
48121021751,"Flower Mound, TX",83134
31055007449,"West Omaha, Omaha, NE",83087
48113019301,"Park Cities, Dallas, TX",83052
34023001506,"Edison, NJ",82865
6085510400,"North Los Altos, Los Altos, CA",82812
24005402306,"Windsor Mill, Baltimore, MD",82809
6081609000,"Belmont, CA",82524
17043841308,"Bartlett, IL",82517
26163515400,"Detroit, MI",82438
48085030304,"Prosper, TX",82384
34037374400,"Lake Mohawk, Byram Township, NJ",82327
6081606900,"San Mateo, CA",82218
47037015630,"Antioch, Nashville, TN",82214
25017354200,"West Cambridge, Cambridge, MA",82196
4013217300,"South Scottsdale, Scottsdale, AZ",82176
35045000900,"Bloomfield, NM",82092
6001443105,"Cameron Hills, Fremont, CA",82087
6001423902,"Elmwood, Berkeley, CA",81828
37119006211,"Huntersville, NC",81822
48029181814,"North Central, San Antonio, TX",81741
36059406002,"West Hempstead, NY",81720
9001060600,"Southport, Fairfield, CT",81677
47037018601,"Nashville, TN",81666
17031390700,"East Hyde Park, Chicago, IL",81562
36061028100,"Fort George, New York, NY",81522
6037106113,"Sylmar, Los Angeles, CA",81419
36005034300,"Bronx County, NY",81403
6085503332,"Evergreen, San Jose, CA",81335
24031701306,"Olney, MD",81153
51059451602,"Falls Church, VA",81083
6001440335,"Union City, CA",80958
48201540901,"Hearthstone, Houston, TX",80903
48085030524,"McKinney, TX",80754
34039037900,"Summit, NJ",80699
40025950100,"Boise City, OK",80594
36061008700,"Midtown, New York, NY",80494
17097863904,"Vernon Hills, IL",80493
6081613000,"Sharon Heights, Menlo Park, CA",80439
36005045600,"Bronx County, NY",80416
36119010702,"Scarsdale, NY",80249
6075031000,"West of Twin Peaks, San Francisco, CA",80168
6037265100,"Westwood, Los Angeles, CA",80149
34027044200,"Morristown, NJ",79677
25021418101,"Quincy, MA",79645
36119010901,"White Plains, NY",79542
6073002002,"Mid-City, San Diego, CA",79513
9001010102,"Greenwich, CT",79480
51087200121,"Wellesley, Henrico, VA",79400
22017023100,"Springlake, University Terrace, Shreveport, LA",79267
48201554101,"Memorial Northwest, Spring, TX",79225
48029181825,"Northwest Side, San Antonio, TX",79093
31055007460,"Omaha, NE",79075
24031704805,"Bethesda, MD",78945
6075011100,"Nob Hill, San Francisco, CA",78924
36085004700,"Richmond County, NY",78885
34017007500,"Downtown Jersey City, Jersey City, NJ",78811
34039030802,"Elizabeth, NJ",78682
6003010000,"Markleeville, CA",78667
36061011203,"Midtown, New York, NY",78543
53033004302,"Northeast Seattle, Seattle, WA",78505
37119005616,"Charlotte, NC",78502
36061006100,"Lower Manhattan, New York, NY",78319
36119010600,"Ardsley, NY",78295
34027045703,"Mount Freedom, Randolph, NJ",78220
51013101603,"North Rosslyn, Arlington, VA",78180
36047004400,"Kings County, NY",78089
42003141000,"Regent Square, Pittsburgh, PA",78006
42091201203,"Spring House, PA",77946
26077001604,"Parkview Hills, Kalamazoo, MI",77911
6059063005,"Newport Beach, CA",77873
27053023100,"Morningside, Minneapolis, MN",77826
34003019104,"Fort Lee, NJ",77763
42003070800,"Shadyside, Pittsburgh, PA",77752
37183053603,"Cary, NC",77575
36103135004,"Saint James, NY",77414
40109108529,"Northwest Oklahoma City, Oklahoma City, OK",77414
