cz,Name,Household_Income_at_Age_35_rA_gF_p25
cz1600,Wilson,85730
cz38402,Pullman,83612
cz23400,Bloomington,77547
cz4402,Richmond,71255
cz14500,Lafayette,70288
cz15600,Wheeling,69445
cz16801,Beckley,68413
cz38401,Lewiston,67805
cz31503,Laredo,67622
cz29403,Bartlesville,67427
cz19600,Newark,67253
cz9002,Milledgeville,66762
cz32000,Houston,66621
cz22100,Iowa City,66532
cz32601,Wichita Falls,66504
cz25200,Henderson,66138
cz25000,Quincy,65790
cz29504,Sedalia,65784
cz32301,San Angelo,65327
cz11304,Washington,65301
cz17600,Charlottesville,64618
cz26901,Fergus Falls,64288
cz30401,Stillwater,64246
cz10801,Tuscaloosa,64211
cz12302,Petoskey,64177
cz31401,Midland,64025
cz36404,Rock Springs,63838
cz8401,Aiken,63800
cz38502,Wenatchee,63688
cz37500,San Jose,63638
cz23900,Peoria,63484
cz31800,College Station,63356
cz35500,Gallup,62952
cz9800,Auburn,62843
cz37800,San Francisco,62751
cz19800,Wilmington,62634
cz29302,Newton,62207
cz24300,Chicago,62002
cz1302,Florence,61920
cz33100,Dallas,61626
cz6100,Gadsden,61598
cz4901,Jackson,61400
cz32201,Huntsville,60944
cz26801,Fargo,60892
cz4800,Greenville,60843
cz25500,Centralia,60830
cz23301,Charleston,60696
cz5800,Dickson,60484
cz8000,Sumter,60303
cz4103,El Dorado,60107
cz19700,Philadelphia,60009
cz9900,Tallahassee,59917
cz30402,Tulsa,59860
cz34203,Great Falls,59804
cz12901,Lexington-Fayette,59402
cz11302,Baltimore,59189
cz2300,Lynchburg,59081
cz24600,Farmington,59056
cz38300,Los Angeles,58972
cz39203,Bend,58883
cz18500,Amsterdam,58863
cz31201,Austin,58807
cz19400,New York,58749
cz19300,Poughkeepsie,58746
cz15200,Cleveland,58729
cz33803,Oklahoma City,58612
cz3500,Baton Rouge,58544
cz10700,Birmingham,58504
cz31900,Pearland,58462
cz27102,Marshall,58417
cz29303,Winfield,58224
cz23500,Decatur,58215
cz31600,Brownsville,58078
cz15800,Athens,57826
cz1203,Asheville,57768
cz20500,Boston,57741
cz19500,Toms River,57731
cz11201,Bluefield,57687
cz23302,Douglas,57378
cz17300,Staunton,57336
cz16702,Morgantown,57312
cz33400,Longview,57222
cz10400,Meridian,57170
cz4302,Searcy,57043
cz32100,Beaumont,56902
cz22001,Waterloo,56824
cz29601,Columbia,56806
cz12701,Cincinnati,56737
cz18600,Albany,56712
cz33500,Texarkana,56693
cz19000,Allentown,56418
cz29402,Emporia,56216
cz29204,Topeka,56065
cz8800,Savannah,56018
cz16300,Pittsburgh,55969
cz36901,Crescent City,55944
cz17200,Harrisonburg,55860
cz18800,Scranton,55840
cz13800,Wayne,55557
cz33000,Fort Worth,55555
cz37700,Santa Rosa,55540
cz28800,Fort Collins,55439
cz39400,Seattle,55385
cz25800,Blytheville,55351
cz19901,Dover,55333
cz32801,Waco,55284
cz3300,New Orleans,55281
cz12001,Big Rapids,55231
cz24701,St. Louis,55205
cz20902,Pittsfield,55098
cz27702,Cheyenne,55033
cz11301,Fredericksburg,54993
cz30901,Clovis,54931
cz7700,Lake City,54847
cz38000,San Diego,54594
cz10502,Starkville,54560
cz6502,Cleveland,54550
cz27101,Willmar,54508
cz29501,Leavenworth,54459
cz8100,Columbia,54432
cz3003,Jackson,54391
cz36000,Provo,54361
cz39302,Bellingham,54353
cz20901,Bridgeport,54272
cz14200,Indianapolis,54263
cz11600,Detroit,54223
cz8601,Waycross,54199
cz29301,Wichita,54135
cz10200,Albany,54118
cz3400,Houma,53963
cz6000,Huntsville,53951
cz1701,Raleigh,53908
cz38200,Santa Barbara,53894
cz9200,Griffin,53629
cz18400,Plattsburgh,53609
cz19200,Harrisburg,53529
cz20001,Bangor,53512
cz24900,Edwardsville,53504
cz8701,Hinesville,53481
cz15900,Columbus,53356
cz25601,Carbondale,53244
cz24802,Springfield,53157
cz26201,Bismarck,53099
cz31101,Victoria,52991
cz16100,State College,52924
cz37400,Sacramento,52911
cz28900,Denver,52879
cz7000,Miami,52850
cz30000,Russellville,52787
cz34901,Albuquerque,52716
cz2500,Newport News,52666
cz35001,Phoenix,52656
cz38602,Colville,52581
cz9500,Talladega,52568
cz2400,Richmond,52499
cz7100,Port St. Lucie,52407
cz16901,Charleston,52405
cz38801,Portland,52377
cz36902,Roseburg,52357
cz33700,Ardmore,52332
cz6401,Chattanooga,52194
cz34001,Hot Springs,52119
cz28101,Lincoln,52084
cz8503,Valdosta,52000
cz36200,Logan,51976
cz16400,Youngstown,51953
cz30602,Alamogordo,51935
cz7900,Gainesville,51908
cz37000,Modesto,51895
cz2000,Virginia Beach,51746
cz10501,Columbus,51744
cz28702,Glenwood Springs,51684
cz31301,San Antonio,51667
cz14400,Terre Haute,51647
cz28401,Colorado Springs,51395
cz37100,Bakersfield,51323
cz22200,Cedar Rapids,51317
cz31001,Garden City,51105
cz4701,Greenwood,51063
cz17400,Hagerstown,51057
cz27402,Fort Dodge,50954
cz11700,Lansing,50938
cz37300,Chico,50862
cz29502,Kansas City,50764
cz27501,Des Moines,50761
cz8702,Statesboro,50609
cz29700,Springfield,50361
cz9100,Atlanta,50357
cz21802,Decorah,50290
cz36100,Salt Lake City,50270
cz1900,Jacksonville,50253
cz33601,Lawton,50160
cz7400,Orlando,50152
cz38802,The Dalles,50085
cz21302,Owatonna,50081
cz32900,Killeen,50074
cz6302,Cookeville,50067
cz8202,Charleston,49994
cz12401,Alpena,49991
cz5202,Memphis,49928
cz14100,Fort Wayne,49844
cz22300,Ottumwa,49838
cz34802,Santa Fe,49804
cz18000,Buffalo,49802
cz7200,Cape Coral,49801
cz23100,Madison,49720
cz9302,Toccoa,49699
cz12100,Kalamazoo,49679
cz402,Martinsville,49654
cz302,Knoxville,49638
cz20800,Springfield,49565
cz34701,Honolulu,49564
cz6600,Rome,49563
cz12501,Dayton,49499
cz17700,Syracuse,49481
cz22400,Sheboygan,49450
cz30200,Muskogee,49337
cz28202,Omaha,49282
cz7500,Deltona,49257
cz21101,Rice Lake,49117
cz29203,Manhattan,49061
cz19100,Reading,49030
cz30802,Lubbock,48987
cz30701,Roswell,48983
cz18100,Elmira,48920
cz800,Gastonia,48759
