cz,Name,Household_Income_at_Age_35_rA_gM_p25
cz13502,Defiance,79778
cz37601,Elko,77803
cz9003,Dublin,77322
cz35901,St. George,75036
cz4103,El Dorado,67646
cz9702,Americus,66640
cz30401,Stillwater,63281
cz31101,Victoria,61901
cz11402,Marinette,60701
cz17300,Staunton,59574
cz35300,Farmington,58737
cz30502,Enid,58615
cz30200,Muskogee,58561
cz19600,Newark,58075
cz9002,Milledgeville,57802
cz22001,Waterloo,57667
cz26304,Minot,57397
cz34110,Sitka,57079
cz29501,Leavenworth,57041
cz14600,Bloomington,56719
cz35500,Gallup,56588
cz25200,Henderson,56564
cz17501,Cumberland,56102
cz38402,Pullman,56074
cz38502,Wenatchee,56049
cz4901,Jackson,55983
cz21801,Mason City,55807
cz27701,Scottsbluff,55799
cz26901,Fergus Falls,55693
cz31800,College Station,55227
cz35701,Twin Falls,55041
cz21301,Mankato,54504
cz29403,Bartlesville,54302
cz36901,Crescent City,54234
cz25900,Jonesboro,54114
cz17502,Winchester,53871
cz11304,Washington,53238
cz34802,Santa Fe,53233
cz14900,Gary,53199
cz9302,Toccoa,52972
cz32000,Houston,52917
cz14300,Columbus,52077
cz16801,Beckley,51991
cz24300,Chicago,51950
cz23900,Peoria,51941
cz13600,South Bend,51872
cz8702,Statesboro,51735
cz12302,Petoskey,51639
cz23400,Bloomington,51575
cz16000,Mansfield,51491
cz8401,Aiken,51391
cz9200,Griffin,51389
cz20902,Pittsfield,51358
cz19200,Harrisburg,51104
cz35401,Flagstaff,50848
cz10502,Starkville,50768
cz30901,Clovis,50694
cz27301,Spencer,50626
cz5700,Tullahoma,50614
cz29503,St. Joseph,50429
cz7900,Gainesville,50182
cz19500,Toms River,50126
cz6000,Huntsville,50125
cz18800,Scranton,49933
cz33100,Dallas,49866
cz19800,Wilmington,49699
cz10700,Birmingham,49660
cz31401,Midland,49624
cz38100,Yuma,49604
cz19400,New York,49592
cz37800,San Francisco,49582
cz6600,Rome,49580
cz11302,Baltimore,49444
cz1203,Asheville,49390
cz33400,Longview,49367
cz7800,Ocala,49276
cz4800,Greenville,49240
cz19700,Philadelphia,49219
cz12901,Lexington-Fayette,49097
cz15800,Athens,49043
cz6100,Gadsden,49031
cz16400,Youngstown,48873
cz37500,San Jose,48564
cz6200,Florence,48563
cz19100,Reading,48547
cz35201,Grand Junction,48516
cz14500,Lafayette,48414
cz24802,Springfield,48376
cz7100,Port St. Lucie,48256
cz18600,Albany,48161
cz29301,Wichita,48065
cz33700,Ardmore,48040
cz3700,Lake Charles,47960
cz14200,Indianapolis,47905
cz21302,Owatonna,47848
cz14400,Terre Haute,47796
cz20901,Bridgeport,47638
cz11001,Mobile,47626
cz22100,Iowa City,47618
cz8503,Valdosta,47554
cz15600,Wheeling,47554
cz8100,Columbia,47443
cz20600,Manchester,47391
cz14000,Muncie,47346
cz17600,Charlottesville,47304
cz20500,Boston,47177
cz29402,Emporia,47054
cz8800,Savannah,47038
cz23500,Decatur,46984
cz2300,Lynchburg,46861
cz9001,Vidalia,46832
cz36000,Provo,46826
cz30402,Tulsa,46771
cz29504,Sedalia,46737
cz11700,Lansing,46605
cz27302,Fairmont,46584
cz31201,Austin,46546
