cz,Name,Household_Income_at_Age_35_rB_gF_p25
cz36200,Logan,55863
cz23302,Douglas,52113
cz38402,Pullman,52017
cz38502,Wenatchee,51571
cz35600,Hilo,50086
cz34504,Missoula,47235
cz36000,Provo,45075
cz21600,Brainerd,44562
cz23000,Monroe,44183
cz34703,Kahului,41365
cz26704,Grand Forks,41113
cz32702,Stephenville,39702
cz39303,Port Angeles,39590
cz20302,Claremont,38689
cz27401,Storm Lake,37737
cz26701,Bemidji,37462
cz22800,Eau Claire,37217
cz36800,Medford,37163
cz23200,Dubuque,36868
cz26901,Fergus Falls,35729
cz29302,Newton,34207
cz31600,Brownsville,34201
cz34308,Billings,34148
cz22400,Sheboygan,33776
cz35300,Farmington,33262
cz11402,Marinette,33059
cz34203,Great Falls,32911
cz31202,Burnet,32849
cz34701,Honolulu,32736
cz37700,Santa Rosa,32400
cz35801,Boise City,32255
cz20500,Boston,32254
cz26002,Duluth,32184
cz32502,Childress,32115
cz28800,Fort Collins,32039
cz11304,Washington,32030
cz35201,Grand Junction,32028
cz31007,Dumas,31935
cz31402,Pecos,31935
cz32403,Snyder,31814
cz11800,Mount Pleasant,31647
cz29303,Winfield,31485
cz31001,Garden City,31279
cz4502,Hazard,31267
cz26503,Sioux Falls,31051
cz33801,Elk City,30996
cz19400,New York,30850
cz38200,Santa Barbara,30803
cz29602,Eldon,30743
cz35500,Gallup,30709
cz13800,Wayne,30669
cz32305,Del Rio,30514
cz20200,Burlington,30491
cz29004,Great Bend,30456
cz20600,Manchester,30394
cz22700,Wausau,30360
cz20001,Bangor,30269
cz20401,Providence,30084
cz301,Middlesborough,29917
cz30601,El Paso,29906
cz37500,San Jose,29894
cz4401,London,29871
cz30604,Deming,29862
cz15300,Parkersburg,29826
cz29800,Aurora,29788
cz34802,Santa Fe,29702
cz30701,Roswell,29658
cz36600,Redding,29517
cz23700,Galesburg,29478
cz26304,Minot,29455
cz20901,Bridgeport,29445
cz22100,Iowa City,29363
cz30901,Clovis,29315
cz33601,Lawton,29168
cz21302,Owatonna,29162
cz17000,Pikeville,29042
cz36902,Roseburg,28924
cz30401,Stillwater,28860
cz38901,Eugene,28846
cz19600,Newark,28831
cz29901,Joplin,28828
cz38000,San Diego,28793
cz26801,Fargo,28708
cz37000,Modesto,28705
cz21101,Rice Lake,28686
cz12702,Maysville,28628
cz27903,Grand Island,28460
cz36100,Salt Lake City,28300
cz18800,Scranton,28288
cz27702,Cheyenne,28200
cz21702,Austin,28190
cz38100,Yuma,28190
cz19500,Toms River,28159
cz35901,St. George,28136
cz20100,Portland,28079
cz34603,Casper,28067
cz11301,Fredericksburg,28034
cz27601,Rapid City,28021
cz30908,Plainview,27985
cz39400,Seattle,27974
cz11303,Colonial Beach,27972
cz18300,Watertown,27962
cz22900,La Crosse,27929
cz5402,Glasgow,27866
cz18400,Plattsburgh,27854
cz30906,Memphis,27733
cz36301,Pocatello,27727
cz21501,Minneapolis,27723
cz11202,Welch,27652
cz19300,Poughkeepsie,27612
cz11401,Marquette,27597
cz23301,Charleston,27592
cz34901,Albuquerque,27542
cz20700,Keene,27536
cz34115,Fairbanks,27520
cz7000,Miami,27504
cz16100,State College,27468
cz20800,Springfield,27459
cz32701,Brownwood,27440
cz17502,Winchester,27437
cz12902,Mount Sterling,27407
cz17501,Cumberland,27400
cz25602,Harrisburg,27400
cz30801,Hobbs,27389
cz18600,Albany,27370
cz39302,Bellingham,27361
cz31301,San Antonio,27339
cz21801,Mason City,27308
cz31700,Corpus Christi,27297
cz32501,Abilene,27279
cz33603,Frederick,27240
cz18700,Sunbury,27134
cz28401,Colorado Springs,27080
cz3201,Jena,27021
cz23400,Bloomington,27014
cz13000,Elizabethtown,27012
cz25104,Heber Springs,27008
cz35001,Phoenix,26959
cz28900,Denver,26897
cz20902,Pittsfield,26896
cz32000,Houston,26888
cz34102,Anchorage,26884
cz36501,Klamath Falls,26858
cz30403,Okmulgee,26828
cz31401,Midland,26750
cz18500,Amsterdam,26721
cz28101,Lincoln,26679
cz31503,Laredo,26654
cz28502,Pueblo,26647
cz29503,St. Joseph,26604
cz4601,Campbellsville,26589
cz6502,Cleveland,26563
cz32401,Big Spring,26556
cz37800,San Francisco,26516
cz35401,Flagstaff,26511
cz31900,Pearland,26463
cz39000,Yakima,26455
cz38700,Longview,26450
cz22200,Cedar Rapids,26449
cz4402,Richmond,26442
cz39100,Kennewick,26437
cz29504,Sedalia,26431
cz3700,Lake Charles,26421
cz8202,Charleston,26410
cz17900,Union,26347
cz29104,Salina,26342
cz2000,Virginia Beach,26319
cz11302,Baltimore,26246
cz21400,St. Cloud,26231
