cz,Name,Household_Income_at_Age_35_rB_gM_p25
cz38502,Wenatchee,47193
cz12401,Alpena,46667
cz18400,Plattsburgh,43677
cz27202,Worthington,39788
cz26704,Grand Forks,37526
cz36200,Logan,37386
cz22300,Ottumwa,36630
cz30701,Roswell,36467
cz12301,Traverse City,35105
cz18201,Olean,34846
cz34504,Missoula,34710
cz31402,Pecos,34306
cz35901,St. George,34023
cz31302,Beeville,34002
cz12902,Mount Sterling,33027
cz26801,Fargo,32940
cz36000,Provo,32912
cz36902,Roseburg,32787
cz21301,Mankato,32639
cz29302,Newton,32598
cz38402,Pullman,32348
cz18700,Sunbury,32310
cz31004,Liberal,32285
cz26002,Duluth,32271
cz22700,Wausau,31448
cz31007,Dumas,30918
cz20001,Bangor,30827
cz36501,Klamath Falls,30810
cz28800,Fort Collins,30439
cz32702,Stephenville,30426
cz21600,Brainerd,30326
cz38700,Longview,30238
cz20302,Claremont,30092
cz11800,Mount Pleasant,30089
cz22800,Eau Claire,29824
cz14802,Vincennes,29781
cz35701,Twin Falls,29694
cz32305,Del Rio,29618
cz27903,Grand Island,29380
cz32403,Snyder,29339
cz29004,Great Bend,29161
cz26201,Bismarck,28917
cz26304,Minot,28730
cz31001,Garden City,28686
cz35201,Grand Junction,28521
cz23000,Monroe,28446
cz22100,Iowa City,28369
cz30902,Littlefield,27997
cz31401,Midland,27612
cz27702,Cheyenne,27550
cz31600,Brownsville,27546
cz17200,Harrisonburg,27484
cz20500,Boston,27459
cz32402,Sweetwater,27357
cz33901,Ada,27345
cz39303,Port Angeles,27281
cz20600,Manchester,27262
cz20200,Burlington,27194
cz28502,Pueblo,27146
cz30300,Fayetteville,27114
cz26503,Sioux Falls,27096
cz30904,Pampa,26941
cz31202,Burnet,26890
cz39100,Kennewick,26778
cz34701,Honolulu,26672
cz37700,Santa Rosa,26632
cz24500,Rolla,26534
cz11303,Colonial Beach,26515
cz34308,Billings,26445
cz21302,Owatonna,26440
cz31101,Victoria,26419
cz31900,Pearland,26409
cz21101,Rice Lake,26397
cz34203,Great Falls,26345
cz36100,Salt Lake City,26313
