cz,Name,Household_Income_at_Age_35_rH_gF_p25
cz26410,Dickinson,59179
cz27006,Mitchell,53135
cz31005,Perryton,47124
cz34110,Sitka,46636
cz29101,Concordia,46199
cz26104,Trenton,46080
cz36401,Steamboat Springs,46001
cz26501,Brookings,45650
cz26101,Moberly,45321
cz31404,Alpine,44287
cz35202,Gunnison,44210
cz35904,Richfield,44186
cz4003,Ruston,44075
cz28605,Goodland,44046
cz37903,Mammoth Lakes,44036
cz1001,Boone,43845
cz15800,Athens,43757
cz31402,Pecos,43708
cz35402,Cortez,43439
cz34303,Riverton,43414
cz1204,Andrews,43280
cz36503,Lakeview,43253
cz28607,McCook,43167
cz16703,Buckhannon,43066
cz26803,Jamestown,43022
cz11304,Washington,42914
cz34302,Worland,42751
cz26201,Bismarck,42536
cz34702,Kapaa,42446
cz31403,Fort Stockton,42371
cz34601,Gillette,42115
cz31401,Midland,41899
cz4004,Many,41664
cz32603,Seymour,41480
cz28201,Red Oak,41411
cz37601,Elko,41253
cz26107,Kirksville,41027
cz35903,Moab,40951
cz21802,Decorah,40926
cz27704,Gordon,40892
cz30904,Pampa,40717
cz23200,Dubuque,40691
cz37800,San Francisco,40674
cz21400,St. Cloud,40547
cz30501,Woodward,40538
cz4903,Lexington,40441
cz26605,Aberdeen,40364
cz32306,Eagle Pass,40063
cz27301,Spencer,39951
cz31002,Ulysses,39930
cz7000,Miami,39838
cz29602,Eldon,39815
cz28702,Glenwood Springs,39783
cz29006,Hays,39693
cz26902,Little Falls,39690
cz27801,Columbus-Norfolk,39684
cz34404,Butte-Silver Bow,39663
cz30801,Hobbs,39605
cz36403,Soda Springs,39564
cz27201,Sioux Center,39512
cz21701,Rochester,39453
cz29004,Great Bend,39296
cz27011,Pierre,39207
cz23600,Burlington,39199
cz34602,Rawlins,39198
cz27504,Carroll,39150
cz23302,Douglas,39121
cz36404,Rock Springs,39088
cz32305,Del Rio,39076
cz28102,Nebraska City,39049
cz31006,Guymon,38952
cz15600,Wheeling,38934
cz22500,Oshkosh,38731
cz27902,York,38715
cz32000,Houston,38690
cz38502,Wenatchee,38665
cz22002,Iowa Falls,38556
cz21900,Marshalltown,38446
cz21202,Redwood Falls,38385
cz37602,Winnemucca,38348
cz37700,Santa Rosa,38341
cz30905,Wellington,38259
cz29104,Salina,38235
cz4101,Crossett,38192
cz17501,Cumberland,38130
cz32100,Beaumont,38097
cz31007,Dumas,38072
cz28704,Laramie,37982
cz34109,Juneau,37862
cz19600,Newark,37837
cz21002,Houghton,37808
cz38200,Santa Barbara,37803
cz28302,Ogallala,37775
cz26304,Minot,37769
cz38802,The Dalles,37724
cz30401,Stillwater,37399
cz3300,New Orleans,37394
cz37500,San Jose,37388
cz38000,San Diego,37358
cz34301,Cody,37257
cz3800,Lafayette,37222
cz27401,Storm Lake,37215
cz34603,Casper,37215
cz28701,Salida,37112
cz22100,Iowa City,37101
cz11402,Marinette,37078
cz21101,Rice Lake,37048
cz35902,Price,36996
cz34701,Honolulu,36964
cz32602,Graham,36884
cz38300,Los Angeles,36875
cz31900,Pearland,36865
cz11201,Bluefield,36855
cz29201,Hiawatha,36832
cz36000,Provo,36789
cz35300,Farmington,36774
cz10101,Bainbridge,36768
cz30601,El Paso,36746
cz20200,Burlington,36734
cz25101,Mountain Home,36730
cz24802,Springfield,36701
cz33802,Chickasha,36650
cz37100,Bakersfield,36637
cz27202,Worthington,36635
cz4302,Searcy,36603
cz12800,Washington,36536
cz7900,Gainesville,36495
cz36600,Redding,36482
cz38602,Colville,36464
cz31503,Laredo,36441
cz27502,Creston,36410
cz17600,Charlottesville,36328
cz15300,Parkersburg,36310
cz29001,Pratt,36295
cz23801,Davenport,36268
cz32403,Snyder,36247
cz13900,Center,36218
cz31004,Liberal,36205
cz17900,Union,36194
cz23500,Decatur,36175
cz31600,Brownsville,36154
cz12902,Mount Sterling,36127
cz33400,Longview,36086
cz38100,Yuma,36075
cz27402,Fort Dodge,36036
cz21600,Brainerd,36019
cz32702,Stephenville,35964
cz36402,Vernal,35963
cz16701,Elkins,35937
cz7800,Ocala,35931
cz11302,Baltimore,35925
cz37300,Chico,35872
cz27903,Grand Island,35859
cz26701,Bemidji,35848
cz27501,Des Moines,35804
cz36501,Klamath Falls,35716
cz27802,Columbus,35703
cz19400,New York,35700
cz32401,Big Spring,35696
cz39000,Yakima,35664
cz1201,Franklin,35661
cz24300,Chicago,35639
cz39100,Kennewick,35639
cz34111,Ketchikan,35612
cz1202,Sylva,35585
cz18100,Elmira,35582
cz39400,Seattle,35557
cz31003,Scott City,35507
cz27703,Torrington,35475
cz3500,Baton Rouge,35472
cz30502,Enid,35386
cz37604,Reno,35386
cz26102,Marshall,35295
cz26702,Grafton,35283
cz33801,Elk City,35251
cz12502,Washington Court House,35190
cz38501,Moses Lake,35158
cz37400,Sacramento,35155
cz22300,Ottumwa,35134
cz37000,Modesto,35109
cz39201,La Grande,35090
cz34804,Clayton,35082
cz26901,Fergus Falls,35070
cz35701,Twin Falls,35014
cz14900,Gary,35004
cz7600,Jacksonville,34951
cz7100,Port St. Lucie,34949
cz27702,Cheyenne,34937
cz33000,Fort Worth,34890
cz27005,Yankton,34858
cz21302,Owatonna,34835
cz11301,Fredericksburg,34813
cz3400,Houma,34803
cz30300,Fayetteville,34798
cz21003,Ironwood,34792
cz33100,Dallas,34787
cz10000,Panama City,34773
cz35002,Safford,34716
cz10900,Pensacola,34705
cz1301,Bennettsville,34665
cz36800,Medford,34645
cz33901,Ada,34634
cz19500,Toms River,34628
cz35201,Grand Junction,34623
cz36200,Logan,34562
cz36700,Eureka,34560
cz21501,Minneapolis,34520
cz6302,Cookeville,34496
cz6700,Tampa,34475
cz7400,Orlando,34461
cz13000,Elizabethtown,34441
cz17502,Winchester,34423
cz31102,La Grange,34404
cz32304,Uvalde,34382
cz33700,Ardmore,34370
cz23802,Clinton,34325
cz39203,Bend,34318
cz28002,West Point,34302
cz14500,Lafayette,34294
cz33300,Tyler,34288
cz13700,Concord,34248
cz35702,Burley,34240
cz5700,Tullahoma,34224
cz20001,Bangor,34223
cz28609,Lexington,34206
cz32303,Junction,34174
cz21801,Mason City,34166
