cz,Name,Household_Income_at_Age_35_rH_gM_p25
cz26107,Kirksville,59409
cz26411,Sidney,57723
cz35904,Richfield,51613
cz36402,Vernal,51590
cz34501,Bonners Ferry,51503
cz31402,Pecos,51099
cz31005,Perryton,49645
cz31003,Scott City,49001
cz34402,Bozeman,48001
cz31404,Alpine,46433
cz28607,McCook,46000
cz31403,Fort Stockton,45935
cz27301,Spencer,45797
cz31401,Midland,45608
cz32603,Seymour,45028
cz26902,Little Falls,44980
cz30904,Pampa,44763
cz37602,Winnemucca,44575
cz4101,Crossett,44119
cz34601,Gillette,43639
cz37601,Elko,43363
cz30501,Woodward,43322
cz23000,Monroe,43261
cz32403,Snyder,42794
cz34303,Riverton,42654
cz21600,Brainerd,42543
cz8502,Cordele,42253
cz30801,Hobbs,41855
cz36303,Jackson,41674
cz30401,Stillwater,41520
cz32401,Big Spring,41213
cz21102,Amery,41180
cz32306,Eagle Pass,41008
cz23200,Dubuque,40949
cz31006,Guymon,40907
cz34602,Rawlins,40752
cz30906,Memphis,40749
cz32602,Graham,40571
cz31002,Ulysses,40472
cz26304,Minot,40442
cz31900,Pearland,40308
cz12702,Maysville,40258
cz28608,Kearney,40194
cz30605,Van Horn,40063
cz27201,Sioux Center,40029
cz36403,Soda Springs,39852
cz26106,Centerville,39637
cz17501,Cumberland,39406
cz32305,Del Rio,39309
cz15500,Steubenville,39125
cz11304,Washington,39103
cz32100,Beaumont,39076
cz26901,Fergus Falls,39057
cz30905,Wellington,38716
cz28604,Colby,38670
cz34301,Cody,38622
cz27504,Carroll,38618
cz35402,Cortez,38581
cz34504,Missoula,38484
cz36404,Rock Springs,38447
cz26703,Thief River Falls,38386
cz31501,Crystal City,38314
cz38802,The Dalles,38246
cz27901,Hastings,38233
cz36401,Steamboat Springs,38116
cz31102,La Grange,38089
cz27703,Torrington,38040
cz28504,Burlington,38040
cz27302,Fairmont,37917
cz402,Martinsville,37712
cz26201,Bismarck,37678
cz23801,Davenport,37669
cz32702,Stephenville,37606
cz33400,Longview,37540
cz31007,Dumas,37484
cz36000,Provo,37443
cz11402,Marinette,37325
cz23302,Douglas,37235
cz35002,Safford,37157
cz26803,Jamestown,37105
cz22100,Iowa City,37082
cz11102,Troy,36982
cz32000,Houston,36966
cz34304,Sheridan,36937
cz34603,Casper,36894
cz38502,Wenatchee,36783
cz28609,Lexington,36723
cz37800,San Francisco,36714
cz38501,Moses Lake,36705
cz4302,Searcy,36693
cz31600,Brownsville,36689
cz31004,Liberal,36679
cz4004,Many,36573
cz32202,Nacogdoches,36569
cz33801,Elk City,36537
cz35702,Burley,36519
cz37100,Bakersfield,36418
cz31502,Pearsall,36388
cz29001,Pratt,36385
cz20301,Berlin,36288
cz30701,Roswell,36236
cz36301,Pocatello,36174
cz31503,Laredo,36085
cz31302,Beeville,36079
cz35701,Twin Falls,36063
cz21400,St. Cloud,35947
cz3500,Baton Rouge,35936
cz7000,Miami,35890
cz34404,Butte-Silver Bow,35882
cz32302,Brady,35837
cz32304,Uvalde,35826
cz31101,Victoria,35821
cz39201,La Grande,35809
cz28605,Goodland,35794
cz32701,Brownwood,35775
cz4001,Magnolia,35764
cz11301,Fredericksburg,35718
cz31700,Corpus Christi,35679
cz3902,Lake Providence,35661
cz19600,Newark,35661
cz8501,Fitzgerald,35627
cz32402,Sweetwater,35561
cz32201,Huntsville,35531
cz24802,Springfield,35498
cz26605,Aberdeen,35402
cz10600,Jasper,35389
cz26102,Marshall,35389
cz28306,North Platte,35352
cz33700,Ardmore,35345
cz24500,Rolla,35296
cz13502,Defiance,35285
cz3300,New Orleans,35245
cz30601,El Paso,35213
cz13700,Concord,35211
cz38200,Santa Barbara,35202
cz29800,Aurora,35178
cz23802,Clinton,35171
cz20302,Claremont,35165
cz36501,Klamath Falls,35135
cz19903,Chincoteague,35095
cz33601,Lawton,35056
cz35300,Farmington,35054
cz21702,Austin,35025
cz25101,Mountain Home,35012
cz30502,Enid,35002
cz27902,York,34950
cz33300,Tyler,34921
cz3102,Brookhaven,34917
cz34302,Worland,34911
cz3400,Houma,34900
cz14900,Gary,34843
cz21802,Decorah,34785
cz25402,Murray,34780
cz37500,San Jose,34769
cz29602,Eldon,34753
cz29303,Winfield,34745
cz2900,Hattiesburg,34732
cz21002,Houghton,34722
