cz,Name,Household_Income_at_Age_35_rNA_gF_p25
cz11301,Fredericksburg,68101
cz32802,Corsicana,54600
cz31900,Pearland,48073
cz30501,Woodward,47108
cz4004,Many,45401
cz7100,Port St. Lucie,44950
cz38200,Santa Barbara,42376
cz33500,Texarkana,41880
cz35701,Twin Falls,41274
cz31401,Midland,39788
cz25102,West Plains,39628
cz25103,Harrison,39167
cz32801,Waco,39036
cz17400,Hagerstown,38859
cz6100,Gadsden,38810
cz18100,Elmira,38614
cz34404,Butte-Silver Bow,38476
cz31600,Brownsville,38212
cz11800,Mount Pleasant,37087
cz32201,Huntsville,36902
cz16901,Charleston,36899
cz14500,Lafayette,36660
cz34601,Gillette,36651
cz13000,Elizabethtown,36443
cz33400,Longview,35988
cz11002,Atmore,35945
cz24900,Edwardsville,35632
cz10302,Dothan,35466
cz13900,Center,35344
cz30401,Stillwater,35343
cz12402,Grayling charter,35215
cz20302,Claremont,34862
cz21301,Mankato,34758
cz3800,Lafayette,34711
cz33000,Fort Worth,34567
cz31201,Austin,34557
cz32501,Abilene,34429
cz31700,Corpus Christi,34402
cz32000,Houston,34178
cz34701,Honolulu,33927
cz33901,Ada,33821
cz23500,Decatur,33697
cz6000,Huntsville,33659
cz7000,Miami,33651
cz36902,Roseburg,33579
cz30903,Amarillo,33447
cz30100,Fort Smith,33342
cz11304,Washington,33086
cz29503,St. Joseph,32981
cz24500,Rolla,32880
cz3400,Houma,32700
cz33700,Ardmore,32642
cz14100,Fort Wayne,32614
cz31301,San Antonio,32448
cz30000,Russellville,32413
cz33300,Tyler,32199
cz10600,Jasper,32172
cz28401,Colorado Springs,32089
cz8900,Macon,31915
cz19800,Wilmington,31764
cz10000,Panama City,31718
cz4002,Shreveport,31685
cz34002,Idabel,31639
cz30402,Tulsa,31564
cz32100,Beaumont,31414
cz33902,Sherman,31290
cz38000,San Diego,31234
cz26412,Williston,31208
cz32601,Wichita Falls,31151
cz22500,Oshkosh,31092
cz15700,Scioto,31056
cz30802,Lubbock,31035
cz37100,Bakersfield,31028
cz7300,Palm Bay,30967
cz1202,Sylva,30809
cz24400,Rockford,30723
cz12002,Ludington,30649
cz8503,Valdosta,30633
cz29403,Bartlesville,30578
cz30403,Okmulgee,30526
cz36200,Logan,30418
cz35702,Burley,30355
cz36404,Rock Springs,30349
cz30200,Muskogee,30339
cz2500,Newport News,30134
cz19600,Newark,30100
cz1002,Morganton,30037
cz12302,Petoskey,29984
cz30300,Fayetteville,29927
cz37800,San Francisco,29765
cz29901,Joplin,29746
cz24300,Chicago,29731
cz18201,Olean,29729
cz38700,Longview,29720
cz24701,St. Louis,29664
cz36000,Provo,29378
cz29800,Aurora,29360
cz26901,Fergus Falls,29305
cz30601,El Paso,29301
cz19901,Dover,29276
cz38300,Los Angeles,29236
cz33100,Dallas,29201
cz20500,Boston,29145
cz30502,Enid,28961
cz26408,Glasgow,28944
cz2800,Laurel,28814
cz6800,Lakeland,28764
cz29902,Center,28719
cz11403,Sault Ste. Marie,28708
cz37200,Fresno,28678
cz6200,Florence,28610
cz33803,Oklahoma City,28564
cz11401,Marquette,28546
cz38502,Wenatchee,28533
cz3700,Lake Charles,28448
cz33200,Paris,28420
cz7800,Ocala,28400
cz20901,Bridgeport,28381
cz6900,Sarasota,28325
cz22400,Sheboygan,28238
cz19400,New York,28146
cz3300,New Orleans,28078
cz7600,Jacksonville,28036
cz29303,Winfield,28030
cz10900,Pensacola,27967
cz21004,Rhinelander,27916
cz25000,Quincy,27915
cz35902,Price,27908
cz26410,Dickinson,27795
cz35402,Cortez,27791
cz11001,Mobile,27705
cz33802,Chickasha,27689
cz11500,Jackson,27685
cz20200,Burlington,27672
cz8100,Columbia,27651
cz37000,Modesto,27580
cz33601,Lawton,27415
cz37903,Mammoth Lakes,27395
cz18600,Albany,27353
cz37700,Santa Rosa,27329
cz7400,Orlando,27318
cz2400,Richmond,27316
cz12100,Kalamazoo,27309
cz39303,Port Angeles,27253
cz22200,Cedar Rapids,27237
cz3500,Baton Rouge,27224
cz29301,Wichita,27201
cz2300,Lynchburg,27194
cz11600,Detroit,27180
cz19700,Philadelphia,27084
cz34101,Sand Point,27013
cz12401,Alpena,27007
cz30904,Pampa,27002
cz35802,Ontario,26977
cz1500,Wilmington,26941
cz1800,Goldsboro,26846
cz29601,Columbia,26817
cz35201,Grand Junction,26803
cz2700,Gulfport,26765
cz7700,Lake City,26761
cz20800,Springfield,26678
cz8202,Charleston,26604
cz23801,Davenport,26603
cz37400,Sacramento,26582
cz29502,Kansas City,26562
cz19000,Allentown,26531
cz32301,San Angelo,26526
cz28800,Fort Collins,26517
cz38802,The Dalles,26272
cz16300,Pittsburgh,26261
cz12301,Traverse City,26252
cz28502,Pueblo,26197
cz35401,Flagstaff,26103
cz34504,Missoula,26081
cz26303,Turtle Mountain UT,26079
cz11700,Lansing,26048
cz36501,Klamath Falls,25992
cz37601,Elko,25991
cz7200,Cape Coral,25973
cz11101,Montgomery,25943
cz20001,Bangor,25923
cz7500,Deltona,25785
cz36301,Pocatello,25765
cz18000,Buffalo,25684
cz34402,Bozeman,25610
cz2600,Roanoke Rapids,25583
cz32900,Killeen,25531
cz3901,Monroe,25519
cz34108,Kodiak,25444
cz15000,Canton,25428
cz38801,Portland,25405
cz14200,Indianapolis,25334
cz26304,Minot,25326
cz39400,Seattle,25275
cz30701,Roswell,25246
cz37300,Chico,25239
cz34203,Great Falls,25190
cz37604,Reno,25184
cz900,Charlotte,25141
cz21900,Marshalltown,25096
cz20100,Portland,25017
cz37500,San Jose,25016
cz15200,Cleveland,24950
cz34403,Helena,24945
cz2000,Virginia Beach,24895
cz16400,Youngstown,24855
cz36100,Salt Lake City,24824
cz19200,Harrisburg,24783
cz12200,Grand Rapids,24692
cz35801,Boise City,24674
cz29201,Hiawatha,24627
cz38601,Spokane,24607
cz6700,Tampa,24559
cz13600,South Bend,24524
cz35901,St. George,24509
cz39203,Bend,24470
cz1701,Raleigh,24452
cz9100,Atlanta,24353
cz401,Winston-Salem,24255
cz34603,Casper,24242
cz22601,Green Bay,24237
cz29203,Manhattan,24237
cz21701,Rochester,24197
cz35300,Farmington,24195
cz29204,Topeka,24172
cz8300,Greenville,24171
cz14000,Muncie,24118
cz19100,Reading,24100
cz28202,Omaha,24097
cz37901,Las Vegas,24096
cz15900,Columbus,23945
cz800,Gastonia,23933
cz38902,Newport,23905
cz33801,Elk City,23888
cz10700,Birmingham,23789
cz38501,Moses Lake,23766
cz26406,Wolf Point,23759
cz36901,Crescent City,23685
cz24100,Milwaukee,23663
cz39302,Bellingham,23633
cz20401,Providence,23631
cz38901,Eugene,23613
cz35500,Gallup,23594
cz18300,Watertown,23590
cz17700,Syracuse,23560
cz27004,Winner,23523
cz8401,Aiken,23434
cz5900,Clarksville,23375
cz8000,Sumter,23333
cz9900,Tallahassee,23301
cz21502,Pine City,23250
cz5600,Nashville,23244
cz11302,Baltimore,23215
cz19500,Toms River,23188
cz21002,Houghton,23140
cz26803,Jamestown,23137
cz37602,Winnemucca,23132
cz34102,Anchorage,23050
cz6401,Chattanooga,23025
cz27011,Pierre,22952
cz28900,Denver,22863
cz27702,Cheyenne,22859
cz35001,Phoenix,22853
cz21001,Ashland,22837
cz36800,Medford,22836
cz30602,Alamogordo,22831
cz11900,Saginaw,22795
cz23100,Madison,22759
cz38602,Colville,22644
cz36700,Eureka,22557
cz39100,Kennewick,22507
cz21101,Rice Lake,22489
cz22602,Shawano,22464
cz7900,Gainesville,22458
cz16600,Roanoke,22389
cz20600,Manchester,22385
cz26604,Mobridge,22378
cz13700,Concord,22360
cz12001,Big Rapids,22353
cz29005,Hutchinson,22308
cz20003,Presque Isle,22264
cz14700,Evansville,22154
cz3600,Alexandria,22068
cz34308,Billings,21979
cz22900,La Crosse,21954
cz12501,Dayton,21950
cz3003,Jackson,21945
cz26704,Grand Forks,21926
cz29700,Springfield,21922
cz36600,Redding,21922
cz5202,Memphis,21872
cz13501,Toledo,21795
cz34901,Albuquerque,21783
cz1900,Jacksonville,21776
cz27005,Yankton,21618
cz36402,Vernal,21601
cz302,Knoxville,21577
cz26801,Fargo,21539
cz31001,Garden City,21538
