cz,Name,Household_Income_at_Age_35_rW_gF_p25
cz26202,East Grant UT,72807
cz26403,Bowman,72280
cz26401,Ekalaka,68895
cz26603,East Corson UT,67712
cz31304,Mason,65516
cz26203,Linton,63858
cz26804,Cooperstown,62904
cz27008,Parkston,61761
cz26410,Dickinson,60616
cz26412,Williston,60488
cz27602,Eagle Butte,59884
cz26411,Sidney,58373
cz27605,Mission,58313
cz26404,Lemmon,58189
cz27004,Winner,57680
cz26402,Baker,57187
cz27012,Gettysburg,56512
cz26302,Carrington,56299
cz26303,Turtle Mountain UT,55886
cz28305,Broken Bow,55827
cz26604,Mobridge,55804
cz26409,Glendive,55781
cz27201,Sioux Center,55681
cz26204,Steele,55403
cz27010,Miller,55173
cz26601,Milbank,54957
cz26405,Scobey,54779
cz27003,Ainsworth,54651
cz28002,West Point,54648
cz27001,O'Neill,54267
cz21202,Redwood Falls,54261
cz26502,Madison,54109
cz27504,Carroll,53904
cz27603,Southwest Jackson UT,53833
cz28303,Oshkosh,53832
cz27002,Ord,53591
cz26201,Bismarck,53491
cz26602,Sisseton,53231
cz27009,Chamberlain,53204
cz26703,Thief River Falls,53032
cz27704,Gordon,53016
cz26501,Brookings,52702
cz27802,Columbus,52445
cz27401,Storm Lake,52437
cz26802,Lisbon,52283
cz26702,Grafton,52179
cz29102,Superior,52158
cz27005,Yankton,52118
cz20402,Nantucket,52013
cz28603,Phillipsburg,51916
cz36402,Vernal,51887
cz21802,Decorah,51823
cz26301,Devils Lake,51816
cz28606,Wano,51632
cz34804,Clayton,51433
cz19400,New York,51024
cz29202,Marysville,50990
cz29201,Hiawatha,50786
cz26305,Rugby,50557
cz26803,Jamestown,50542
cz26605,Aberdeen,50167
cz35905,Loa,50019
cz27006,Mitchell,49995
cz26003,West Cook UT,49962
cz27102,Marshall,49952
cz26504,Watertown,49838
cz31005,Perryton,49762
cz27801,Columbus-Norfolk,49743
cz21201,Hutchinson,49581
cz26304,Minot,49574
cz27202,Worthington,49510
cz27101,Willmar,49498
cz28605,Goodland,49334
cz27301,Spencer,49292
cz28601,Oberlin,49118
cz28608,Kearney,49108
cz29103,Beloit,49094
cz23200,Dubuque,49091
cz31003,Scott City,48895
cz26407,Plentywood,48727
cz27503,Atlantic,48699
cz26901,Fergus Falls,48667
cz28504,Burlington,48430
cz26902,Little Falls,48322
cz19600,Newark,48208
cz26801,Fargo,48049
cz27604,Murdo,47967
cz28607,McCook,47941
cz27902,York,47724
cz21301,Mankato,47545
