cz,Name,Household_Income_at_Age_35_rW_gM_p25
cz26403,Bowman,67629
cz34604,Lusk,66478
cz26202,East Grant UT,63597
cz26204,Steele,62496
cz26410,Dickinson,62183
cz26407,Plentywood,60339
cz26411,Sidney,59803
cz27603,Southwest Jackson UT,56054
cz26401,Ekalaka,55949
cz31403,Fort Stockton,55831
cz26412,Williston,55285
cz27008,Parkston,55223
cz26404,Lemmon,54596
cz27201,Sioux Center,54238
cz26603,East Corson UT,54078
cz27010,Miller,53839
cz26203,Linton,53342
cz26405,Scobey,53271
cz26406,Wolf Point,52834
cz34307,Colstrip,52542
cz26305,Rugby,51796
cz26409,Glendive,51677
cz26303,Turtle Mountain UT,51587
cz28703,Granby,51587
cz28002,West Point,51495
cz26802,Lisbon,51375
cz31304,Mason,51290
cz27005,Yankton,51175
cz26702,Grafton,51064
cz29102,Superior,50709
cz36403,Soda Springs,50522
cz26601,Milbank,50312
cz36303,Jackson,50300
cz27001,O'Neill,50145
cz28606,Wano,49980
cz26201,Bismarck,49708
cz27102,Marshall,49705
cz28601,Oberlin,49638
cz29201,Hiawatha,49521
cz28305,Broken Bow,49238
cz26301,Devils Lake,49179
cz26304,Minot,49107
cz34601,Gillette,49021
cz27002,Ord,48976
cz36402,Vernal,48736
cz27401,Storm Lake,48721
cz21202,Redwood Falls,48683
cz34107,Dillingham,48333
cz26502,Madison,48270
cz27802,Columbus,48235
cz26604,Mobridge,48187
cz26703,Thief River Falls,48174
cz29006,Hays,48120
cz27004,Winner,47878
cz27504,Carroll,47852
cz27902,York,47827
cz28604,Colby,47803
cz26804,Cooperstown,47746
cz26605,Aberdeen,47681
cz4004,Many,47635
cz26402,Baker,47615
cz27301,Spencer,47611
cz28303,Oshkosh,47547
cz26501,Brookings,47527
cz27202,Worthington,47488
cz27703,Torrington,47436
cz27003,Ainsworth,47424
cz26803,Jamestown,47417
cz28607,McCook,47235
cz30902,Littlefield,47089
cz34202,Shelby,46906
cz27009,Chamberlain,46906
cz28504,Burlington,46833
cz21201,Hutchinson,46822
cz30905,Wellington,46708
cz27801,Columbus-Norfolk,46630
cz26602,Sisseton,46590
cz31102,La Grange,46518
cz27101,Willmar,46370
cz34301,Cody,46265
cz31003,Scott City,46227
cz27012,Gettysburg,46182
cz31401,Midland,46154
cz28302,Ogallala,46136
cz30702,Santa Rosa,46101
cz31005,Perryton,45985
cz34108,Kodiak,45931
cz28605,Goodland,45912
cz28501,Springfield,45847
cz21802,Decorah,45717
cz34303,Riverton,45693
cz28102,Nebraska City,45689
cz31101,Victoria,45671
cz27602,Eagle Butte,45616
cz26302,Carrington,45389
cz28602,Norton,45379
cz31502,Pearsall,45332
cz19400,New York,45306
cz26901,Fergus Falls,45280
cz23200,Dubuque,45260
cz27704,Gordon,45196
cz26704,Grand Forks,45162
cz27701,Scottsbluff,45117
cz29202,Marysville,45042
cz28304,Valentine,44938
cz27503,Atlantic,44882
cz34304,Sheridan,44827
cz26504,Watertown,44816
cz26408,Glasgow,44750
cz28609,Lexington,44715
cz20402,Nantucket,44699
cz32503,Haskell,44695
cz21400,St. Cloud,44641
cz21701,Rochester,44604
cz26801,Fargo,44461
cz3400,Houma,44450
cz36404,Rock Springs,44342
cz27302,Fairmont,44215
cz21301,Mankato,44117
cz35702,Burley,44079
cz28301,Sterling,44044
cz31002,Ulysses,44005
cz29007,Township 11,43974
cz27011,Pierre,43921
cz31402,Pecos,43893
cz26902,Little Falls,43767
cz34305,Miles City,43759
cz34201,Havre,43736
cz22002,Iowa Falls,43546
cz31006,Guymon,43469
cz27006,Mitchell,43459
cz27901,Hastings,43417
cz26001,Roseau,43388
cz32305,Del Rio,43192
cz33801,Elk City,43126
cz34401,Dillon,43083
cz39202,Enterprise,43080
cz28603,Phillipsburg,43045
cz35905,Loa,42963
cz34603,Casper,42933
cz32302,Brady,42905
cz27007,Huron,42754
cz30906,Memphis,42751
cz26701,Bemidji,42697
cz28608,Kearney,42639
cz32304,Uvalde,42629
cz35904,Richfield,42626
cz21302,Owatonna,42619
cz19600,Newark,42594
cz36200,Logan,42553
cz27903,Grand Island,42543
cz36000,Provo,42527
cz29101,Concordia,42456
cz30501,Woodward,42428
cz28704,Laramie,42419
cz34302,Worland,42412
cz3800,Lafayette,42411
cz21102,Amery,42372
cz28306,North Platte,42368
cz31103,Gonzales,42283
cz35202,Gunnison,42252
cz31007,Dumas,42246
